dataset,term,neighbor,cosine_similarity
amazon,good,really,0.8214744968488996
amazon,good,great,0.8178155323325118
amazon,good,this,0.8005561201882891
amazon,good,but,0.7834292454037483
amazon,good,very,0.7761758233683012
amazon,good,tastes,0.7670910194808095
amazon,good,pretty,0.7347549190753764
amazon,good,like,0.7218296183036165
amazon,good,so,0.7214649020676017
amazon,good,product,0.7108122286696433
amazon,bad,disgusting,0.6461503908721099
amazon,bad,smell,0.6458099794695504
amazon,bad,thing,0.641695650320899
amazon,bad,never,0.6390993211107707
amazon,bad,pretty,0.6369804849906187
amazon,bad,tasted,0.6355805722995267
amazon,bad,gross,0.6355733241363111
amazon,bad,because,0.6319706942546996
amazon,bad,anything,0.625067233113863
amazon,bad,nasty,0.6185181574518493
amazon,coffee,decaf,0.7973589441249846
amazon,coffee,french,0.795786487088755
amazon,coffee,coffees,0.7950238388755351
amazon,coffee,cup,0.7638292346074107
amazon,coffee,roast,0.75871653889484
amazon,coffee,starbucks,0.733250214052845
amazon,coffee,riviera,0.7147761589894708
amazon,coffee,blend,0.702062818838064
amazon,coffee,melitta,0.7006310830683353
amazon,coffee,colombian,0.6922297281725743
amazon,stale,rancid,0.8071976495523565
amazon,stale,horribly,0.7447803599668179
amazon,stale,smelled,0.7263078955464277
amazon,stale,awful,0.7156565391122981
amazon,stale,gross,0.7034375859886732
amazon,stale,rotten,0.7031987755180507
amazon,stale,tasted,0.6795313917904829
amazon,stale,flavorless,0.6781828862019486
amazon,stale,moldy,0.6713358094284857
amazon,stale,opened,0.6712146478309446
amazon,fresh,plump,0.6038372019032427
amazon,fresh,delicious,0.5961226167518445
amazon,fresh,beans,0.5846595244162291
amazon,fresh,wonderful,0.5838946490944018
amazon,fresh,smell,0.5747091518096406
amazon,fresh,roasted,0.5743795823121455
amazon,fresh,nice,0.5696418994307172
amazon,fresh,vacuum,0.5646519930096469
amazon,fresh,fragrance,0.5627896719654613
amazon,fresh,nicely,0.5590069676228137
amazon,love,these,0.8190481451716596
amazon,love,this,0.7356935975297768
amazon,love,favorite,0.727247523180982
amazon,love,delicious,0.7110950899878732
amazon,love,great,0.7011587201213481
amazon,love,my,0.6942741215055388
amazon,love,absolutely,0.6836437631174727
amazon,love,best,0.6678144138551111
amazon,love,good,0.6586862243480305
amazon,love,really,0.6515757040975493
amazon,hate,personally,0.6365422718404798
amazon,hate,disgusting,0.6196490770850025
amazon,hate,normally,0.6057249362585393
amazon,hate,worse,0.6045066503382921
amazon,hate,matter,0.6041969389033801
amazon,hate,expect,0.599124343016351
amazon,hate,probably,0.5975818565390608
amazon,hate,drinking,0.5956797381023087
amazon,hate,idea,0.5917949447124274
amazon,hate,tasted,0.5899834984895445
