dataset,term,neighbor,cosine_similarity
sentiment140,good,morning,0.6040035688641081
sentiment140,good,user,0.5452223823900719
sentiment140,good,luck,0.5373470611896858
sentiment140,good,twitterville,0.5242293625853687
sentiment140,good,exceptional,0.5218087597995887
sentiment140,good,night,0.5146404160264254
sentiment140,good,am,0.4965165384050688
sentiment140,good,but,0.4895002423546457
sentiment140,good,nite,0.48675365095694456
sentiment140,good,bad,0.4781312563911289
sentiment140,bad,dayy,0.6281122429003833
sentiment140,bad,allergies,0.5405579452381516
sentiment140,bad,burger,0.5366025851072016
sentiment140,bad,generally,0.5338747517168486
sentiment140,bad,king,0.5334582191662489
sentiment140,bad,arrg,0.5242279975720009
sentiment140,bad,many,0.5204684215327078
sentiment140,bad,earthquakes,0.5142924446162265
sentiment140,bad,meatloaf,0.505062213468976
sentiment140,bad,localization,0.4952170602347502
sentiment140,love,greeting,0.5916862092656417
sentiment140,love,poland,0.5845854157336774
sentiment140,love,greetings,0.554366104193817
sentiment140,love,jonas,0.542113629407196
sentiment140,love,er,0.5269324905202505
sentiment140,love,you,0.5255856422148657
sentiment140,love,berlin,0.5124164530472682
sentiment140,love,whaa,0.5121603015527465
sentiment140,love,camilla,0.506274736006364
sentiment140,love,talented,0.5032205652961517
sentiment140,hate,truths,0.7145865715143551
sentiment140,hate,syf,0.63724200647486
sentiment140,hate,sappy,0.6347986714945172
sentiment140,hate,hurtful,0.6050499896947398
sentiment140,hate,lies,0.5994637954847519
sentiment140,hate,blahh,0.5894764674713328
sentiment140,hate,ew,0.5597644176183589
sentiment140,hate,iplayer,0.5475012443581435
sentiment140,hate,arghh,0.5317466738649078
sentiment140,hate,sick,0.5305629001263105
sentiment140,happy,birthday,0.6216715710067008
sentiment140,happy,box,0.5217602414099511
sentiment140,happy,gears,0.5128440136982535
sentiment140,happy,jaime,0.5121970381611293
sentiment140,happy,makes,0.504276385263912
sentiment140,happy,jb,0.5019036659239726
sentiment140,happy,me,0.5016962666213157
sentiment140,happy,usb,0.498131177092546
sentiment140,happy,congratulations,0.48983907090978257
sentiment140,happy,chocolates,0.48540219094438203
sentiment140,sad,situation,0.585571185470648
sentiment140,sad,kutner,0.5795210335616396
sentiment140,sad,spartans,0.5758897197231523
sentiment140,sad,cried,0.5449719113215169
sentiment140,sad,favorite,0.5257330248229404
sentiment140,sad,buffy,0.521883715045894
sentiment140,sad,underneith,0.5026605714000143
sentiment140,sad,hoo,0.49615072333186944
sentiment140,sad,killed,0.49596593648511955
sentiment140,sad,saddest,0.4940870096578967
sentiment140,tired,soo,0.6421764082567141
sentiment140,tired,im,0.5721389931470934
sentiment140,tired,freaking,0.5684953676580133
sentiment140,tired,feel,0.5548539574539588
sentiment140,tired,so,0.5436660587322194
sentiment140,tired,hell,0.5336586282364776
sentiment140,tired,shits,0.5302914252680511
sentiment140,tired,aswell,0.5298819051418189
sentiment140,tired,cold,0.5297062354731813
sentiment140,tired,guilty,0.5291033225651263
sentiment140,awesome,smallville,0.6515777977361225
sentiment140,awesome,frikkin,0.609541246885739
sentiment140,awesome,recs,0.5968008283458361
sentiment140,awesome,martha,0.5788063517451361
sentiment140,awesome,moody,0.5756649710968156
sentiment140,awesome,pierce,0.568922536204395
sentiment140,awesome,recorded,0.5526686812060351
sentiment140,awesome,mixes,0.5429896725844314
sentiment140,awesome,debbs,0.5422987137928447
sentiment140,awesome,cc,0.5245324133127883
