dataset,vectorizer,reduction,sample,test_size,accuracy,precision,recall,f1,vocabulary_size,train_rows,test_rows,duration_seconds,model_path,report_path
amazon,bow,none,5000,0.2,0.911,0.9399293286219081,0.9545454545454546,0.9471810089020771,32586,4000,1000,2.1268043518066406,models\reductions\amazon_bow_none.joblib,models\reductions\amazon_bow_none_report.txt
amazon,bow,stem,5000,0.2,0.919,0.9499404052443385,0.9533492822966507,0.9516417910447761,32072,4000,1000,6.168566465377808,models\reductions\amazon_bow_stem.joblib,models\reductions\amazon_bow_stem_report.txt
amazon,bow,lemma,5000,0.2,0.911,0.9399293286219081,0.9545454545454546,0.9471810089020771,32586,4000,1000,1.9764840602874756,models\reductions\amazon_bow_lemma.joblib,models\reductions\amazon_bow_lemma_report.txt
amazon,tfidf,none,5000,0.2,0.899,0.950920245398773,0.9270334928229665,0.9388249545729861,32586,4000,1000,1.5497357845306396,models\reductions\amazon_tfidf_none.joblib,models\reductions\amazon_tfidf_none_report.txt
amazon,tfidf,stem,5000,0.2,0.905,0.9523809523809523,0.9330143540669856,0.9425981873111783,32072,4000,1000,5.622016191482544,models\reductions\amazon_tfidf_stem.joblib,models\reductions\amazon_tfidf_stem_report.txt
amazon,tfidf,lemma,5000,0.2,0.899,0.950920245398773,0.9270334928229665,0.9388249545729861,32586,4000,1000,4.78369927406311,models\reductions\amazon_tfidf_lemma.joblib,models\reductions\amazon_tfidf_lemma_report.txt
amazon,bm25,none,5000,0.2,0.927,0.936,0.9796650717703349,0.9573348918760959,32586,4000,1000,2.294578790664673,models\reductions\amazon_bm25_none.joblib,models\reductions\amazon_bm25_none_report.txt
amazon,bm25,stem,5000,0.2,0.927,0.9390103567318757,0.9760765550239234,0.9571847507331378,32072,4000,1000,10.210405588150024,models\reductions\amazon_bm25_stem.joblib,models\reductions\amazon_bm25_stem_report.txt
amazon,bm25,lemma,5000,0.2,0.927,0.936,0.9796650717703349,0.9573348918760959,32586,4000,1000,1.8595209121704102,models\reductions\amazon_bm25_lemma.joblib,models\reductions\amazon_bm25_lemma_report.txt
amazon,embedding,none,5000,0.2,0.807,0.9521800281293952,0.8098086124401914,0.8752424046541694,6776,4000,1000,3.21695876121521,models\reductions\amazon_embedding_none.joblib,models\reductions\amazon_embedding_none_report.txt
amazon,embedding,stem,5000,0.2,0.807,0.9586305278174037,0.8038277511961722,0.874430709173715,5004,4000,1000,7.889309406280518,models\reductions\amazon_embedding_stem.joblib,models\reductions\amazon_embedding_stem_report.txt
amazon,embedding,lemma,5000,0.2,0.807,0.9521800281293952,0.8098086124401914,0.8752424046541694,6776,4000,1000,3.239251136779785,models\reductions\amazon_embedding_lemma.joblib,models\reductions\amazon_embedding_lemma_report.txt
sentiment140,bow,none,5000,0.2,0.719,0.7168316831683168,0.724,0.7203980099502487,5973,4000,1000,1.2838518619537354,models\reductions\sentiment140_bow_none.joblib,models\reductions\sentiment140_bow_none_report.txt
sentiment140,bow,stem,5000,0.2,0.718,0.7188755020080321,0.716,0.717434869739479,5901,4000,1000,1.6135809421539307,models\reductions\sentiment140_bow_stem.joblib,models\reductions\sentiment140_bow_stem_report.txt
sentiment140,bow,lemma,5000,0.2,0.719,0.7168316831683168,0.724,0.7203980099502487,5973,4000,1000,3.0255167484283447,models\reductions\sentiment140_bow_lemma.joblib,models\reductions\sentiment140_bow_lemma_report.txt
sentiment140,tfidf,none,5000,0.2,0.738,0.7510548523206751,0.712,0.731006160164271,5973,4000,1000,0.8371937274932861,models\reductions\sentiment140_tfidf_none.joblib,models\reductions\sentiment140_tfidf_none_report.txt
sentiment140,tfidf,stem,5000,0.2,0.745,0.7568134171907757,0.722,0.7389969293756398,5901,4000,1000,3.0725624561309814,models\reductions\sentiment140_tfidf_stem.joblib,models\reductions\sentiment140_tfidf_stem_report.txt
sentiment140,tfidf,lemma,5000,0.2,0.738,0.7510548523206751,0.712,0.731006160164271,5973,4000,1000,3.878507614135742,models\reductions\sentiment140_tfidf_lemma.joblib,models\reductions\sentiment140_tfidf_lemma_report.txt
sentiment140,bm25,none,5000,0.2,0.674,0.669921875,0.686,0.6778656126482213,5973,4000,1000,3.7568752765655518,models\reductions\sentiment140_bm25_none.joblib,models\reductions\sentiment140_bm25_none_report.txt
sentiment140,bm25,stem,5000,0.2,0.687,0.6896551724137931,0.68,0.6847935548841894,5901,4000,1000,1.616464376449585,models\reductions\sentiment140_bm25_stem.joblib,models\reductions\sentiment140_bm25_stem_report.txt
sentiment140,bm25,lemma,5000,0.2,0.674,0.669921875,0.686,0.6778656126482213,5973,4000,1000,3.0421159267425537,models\reductions\sentiment140_bm25_lemma.joblib,models\reductions\sentiment140_bm25_lemma_report.txt
sentiment140,embedding,none,5000,0.2,0.695,0.7181208053691275,0.642,0.6779303062302007,2723,4000,1000,1.285553216934204,models\reductions\sentiment140_embedding_none.joblib,models\reductions\sentiment140_embedding_none_report.txt
sentiment140,embedding,stem,5000,0.2,0.712,0.725531914893617,0.682,0.7030927835051546,2429,4000,1000,1.9672341346740723,models\reductions\sentiment140_embedding_stem.joblib,models\reductions\sentiment140_embedding_stem_report.txt
sentiment140,embedding,lemma,5000,0.2,0.695,0.7181208053691275,0.642,0.6779303062302007,2723,4000,1000,1.2099549770355225,models\reductions\sentiment140_embedding_lemma.joblib,models\reductions\sentiment140_embedding_lemma_report.txt
